"Transectcode","profit","Region","Catchment","Transect","profit_ha","profit_ha_year","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","SFAgepx","SFls","TSDls","UPFpx"
"125_9",493.041097598871,"STM","125",9,1972.16439039549,78.8865756158194,41763.296875,1448.01171875,376.823181152344,0,444.093933105469,0.131428569555283,0,158.316909790039,163.40022277832,198.2099609375,0.835918366909027,0,0.0081632649526,242.220413208008,1
"129_10",451.720040010331,"STM","129",10,1806.88016004132,72.275206401653,31597.279296875,453.38916015625,841.575866699219,0,107.063514709473,0.0236734692007303,0,104.940658569336,166.564804077148,201.494720458984,0.408979594707489,0,0.0832653045654297,103.096328735352,1
"129_11",144.03053574484,"STM","129",11,576.122142979361,23.0448857191745,29737.232421875,561.230285644531,714.838928222656,0,34.7664756774902,0.0236734692007303,0,124.704948425293,166.64421081543,201.724334716797,0.507755100727081,21.3333339691162,0.284897953271866,72.4742889404297,0
"129_2",186.115704940717,"STM","129",2,744.462819762868,29.7785127905147,33927.8984375,911.123779296875,1406.3154296875,0,156.041900634766,0.120816327631474,0,105.991691589355,166.408966064453,201.493072509766,0.537959158420563,0,0.372244894504547,65.3338775634766,1
"129_5",306.0103982544,"STM","129",5,1224.0415930176,48.961663720704,29623.048828125,1007.95196533203,1023.57690429688,0,193.698944091797,0.11591836810112,0.333333343267441,95.7915725708008,166.000961303711,202.668060302734,0.538775503635406,0,0.171428576111794,126.814697265625,1
"142_12",647.745193862282,"PGM","142",12,2590.98077544913,103.639231017965,34180.609375,281.718078613281,413.740844726562,0,94.8773803710938,0.107755102217197,0,96.2002410888672,151.702102661133,199.955764770508,0.526530623435974,0,0.0236734692007303,154.94367980957,1
"142_2",135.71168044995,"PGM","142",2,542.846721799802,21.7138688719921,41191.6796875,1076.24975585938,272.553192138672,0.111111111938953,18.6249618530273,0.10530611872673,0,63.2558441162109,152.319519042969,196.646133422852,0.541224479675293,0,0.165714278817177,108.064491271973,0.111111111938953
"142_3",47.6601583050675,"PGM","142",3,190.64063322027,7.6256253288108,35514.74609375,1092.66479492188,223.934692382812,0,159.269027709961,0.0302040819078684,0.111111111938953,90,151.765838623047,199.369918823242,0.339591830968857,0,0.0424489788711071,83.8767318725586,1
"142_4",59.4407207803089,"PGM","142",4,237.762883121235,9.51051532484942,37070.5078125,297.999420166016,502.961090087891,0,396.212585449219,0.12653061747551,0,78.2281875610352,151.958251953125,198.601699829102,0.893877565860748,0,0.111836731433868,227.263671875,1
"142_5",568.934968815518,"PGM","142",5,2275.73987526207,91.0295950104829,32235.849609375,1705.45935058594,207.327484130859,0,709.283142089844,0.0563265308737755,0,128.416519165039,151.606384277344,200.427978515625,1,0,0.0163265299052,295.526519775391,1
"147_1",198.925509436709,"PGM","147",1,795.702037746834,31.8280815098734,19835.345703125,2284.6630859375,1183.15979003906,0,971.843566894531,0,0,149.429229736328,150.958251953125,193.776397705078,1,0,0,300,1
"147_11",275.775555468565,"PGM","147",11,1103.10222187426,44.1240888749704,19859.3125,1597.95178222656,91.9884033203125,0,262.128723144531,0.106122449040413,1,149.215225219727,151.615737915039,193.093368530273,0.77142858505249,0,0.00734693882986903,228.925720214844,1
"147_2",395.501566865474,"PGM","147",2,1582.0062674619,63.2802506984758,22826.908203125,2458.14965820312,189.483749389648,0,163.899780273438,0.0857142880558968,0,152.069320678711,151.012069702148,194.298004150391,0.664489805698395,0,0.0653061196208,183.805709838867,1
"147_3",144.643907446083,"PGM","147",3,578.575629784331,23.1430251913732,23975.537109375,893.998352050781,139.41130065918,0,670.160583496094,0.0506122447550297,0,135.404830932617,151.532485961914,193.69010925293,0.999183654785156,14.1111106872559,0.476734697818756,169.374694824219,0.111111111938953
