"id","propertysize","dominant","catchment","region","profit","profit_ha","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","SFAgepx","SFls","TSDls","UPFpx"
76,770,"Mixed","547","PGM",-71522.28359,-92.8860825844156,110641.0703125,2782.69409179688,258.138580322266,0,364.703094482422,0.118367344141006,0,183.343963623047,137.487167358398,197.2470703125,0.984489798545837,0,0.0146938776597381,252.481628417969,1
77,100,"Cattlebeef","399","STM",16823.58735,168.2358735,112731.28125,1332.57653808594,1045.11462402344,0,200.889175415039,0.121632650494576,0.555555582046509,141.824645996094,162.552947998047,191.031753540039,0.682448983192444,0,0.266122460365295,179.299591064453,1
78,100,"Mixed","399","STM",-121828.5396,-1218.285396,111428.4375,2697.90771484375,58.0097808837891,0,0,0.0457142852246761,0,154.528137207031,164.356491088867,190.898315429688,0.341224491596222,0,0.439999997615814,64.4816360473633,0
79,100,"Soy","399","STM",2269.682585,22.69682585,114702.015625,1654.55395507812,290.346496582031,0,0,0,0,142.607238769531,162.916473388672,191.164489746094,0.210612237453461,0,0.368979603052139,21.5036735534668,0
80,25,"Mixed","547","PGM",68417.71641,2736.7086564,115911.8515625,496.674255371094,87.6138076782227,0,0,0,0,108.988464355469,137.209808349609,199.502075195312,0.0832653045654297,0,0.0604081638157368,14.9804077148438,0
81,100,"Annual","399","STM",1130.977824,11.30977824,114323.4609375,48.1771011352539,851.452575683594,0,70.4495468139648,0.178775504231453,0,91.4830703735352,163.565673828125,191.215057373047,0.812244892120361,0,0.21387754380703,199.248168945312,1
82,100,"Mixed","399","STM",2417.482585,24.17482585,115443.515625,1465.18579101562,621.615661621094,0.666666686534882,111.638061523438,0.120816327631474,0,122.181037902832,163.960601806641,191.040435791016,0.688163280487061,0,0.342857152223587,146.243270874023,0.333333343267441
83,100,"Soy","399","STM",4357.682585,43.57682585,111579.0078125,2090.29956054688,611.446960449219,0,209.546966552734,0.14122448861599,0.666666686534882,151.369277954102,164.233215332031,190.966796875,0.728163242340088,0,0.054693877696991,217.529800415039,1
84,100,"Mixed","357","STM",6369.682585,63.69682585,91567.1484375,900.69482421875,481.768859863281,0,266.268127441406,0.14122448861599,1,113.71955871582,164.354476928711,192.926712036133,0.61224490404129,11.6666669845581,0.255510210990906,21.5126533508301,0
85,100,"Annual","357","STM",7954.619184,79.54619184,93558.8125,332.768341064453,1356.77709960938,0,94.3967971801758,0.0481632649898529,0,91.644172668457,163.759613037109,191.433883666992,0.662857115268707,12,0.662040829658508,21.871021270752,0
86,125,"Soy","547","PGM",638.4104762,5.1072838096,110039.3828125,917.596252441406,146.704299926758,0,0,0,0,147.75944519043,136.387268066406,198.730667114258,0.164081633090973,0,0.0718367323279381,14.6571426391602,0
