Region,Catchment,Transect,Transectcode,UTM_X,UTM_Y,Land-useclass,Forest type,Productiontype,LU_FT_Code,Bird_LU_FT_Code,ReasonsforGeneralexceptions,Generalexceptions,Catchmentexceptions,no_insectsample,no_birdsample,LU_change,Buffersize(pixels),reg_age,reg_fire,reg_fire_age,NumberLogC,NumberBurnC,deg_full,def_age,total_arable,EDGE2_DIST_MEAN,ed1_1km,foresttype1_1km,UPF_foresttype1_1km,MF_FCCP_500mbuffer,CANOPY,DUFF,SPECIES,AGB_Trees10,AGB_DeadTREES10,AGB_CWD,AGB_FWD,AGB_LeafLitter,UND_DEN,WOOD_DEN,DAMAGED,pH_ALL,SILT_ALL,CLAY_ALL,C_0_30,C_N,PC1soilnutALL,PC2soilnutALL,PC1soilnutFOR,PC2soilnutFOR,PC1soilnutPF,PC2soilnutPF,PC1soilnutOPEN,PC2soilnutOPEN,ELEV_MEAN,SLOPE_MEAN
STM,160,10,160_10,735421,9688212,Primary_forest,Logged,,PFlog,PFlog,,,1,,,,83,NA,NA,NA,1,0,0,NA,NA,562.8,5.35,96.02,94.37,0.01,6.75,2.07,88,284.47,0.83,4.61,1.01,7.33,2500,0.64,24,3.84,164.13,806.67,52.19,11.07,-0.62,-1.64,2.14,-0.76,1.68,-0.38,NA,NA,189.4,1.08
STM,160,11,160_11,740489,9689847,Secondary_forest,Old,,SFold,SFold,,,1,,,,78,>20,0,0,NA,NA,NA,>20,NA,115.9,11.85,18.27,49.66,-0.2,8.43,4.25,89,56.47,0.21,15.4,0.94,9.77,3600,0.55,19,4.82,189.33,598.67,67.97,11.52,-1.85,1.35,-1.27,-4.01,NA,NA,NA,NA,119.4,9.41
STM,160,12,160_12,742329,9690829,Mechanisd_agriculture,,,MA,MA,,,1,,,,76,NA,NA,NA,NA,NA,NA,6.32,5,697.2,11.23,9.97,24.75,-0.21,100,0,0,0,0,0,0,2.6,0,0,0,4.98,225.93,657.14,55.63,12.84,-4.58,-1.13,NA,NA,NA,NA,2.49,-0.99,103,7.84
STM,160,5,160_5,740111,9692336,Secondary_forest,Old,,SFold,SFold,,,1,,,,76,>20,0,0,NA,NA,NA,>20,NA,380.5,20.41,46.37,24.64,-0.13,12.06,0.91,81,92.52,0.91,13.25,1.06,7.34,2160,0.42,10,4.35,192.13,653.33,54.06,11.26,0.34,0.78,-1.38,-0.84,NA,NA,NA,NA,125.9,4.74
STM,160,8,160_8,740196,9691139,Secondary_forest,Old,,SFold,SFold,,,1,,,,76,>20,0,0,NA,NA,NA,>20,NA,71.4,21.61,48.32,53.29,-0.05,6.23,1.94,71,166.71,1.93,6.97,1.02,7.77,1480,0.48,7,4.07,112.73,721.33,54.31,12.05,-0.16,-0.52,0.56,-1.03,NA,NA,NA,NA,123.6,6.12
STM,160,9,160_9,739363,9689969,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,Mixed PF and SF ,1,1,,,,79,NA,NA,NA,NA,NA,0,NA,NA,90.6,18.33,56.18,64.68,-0.11,6.17,6.77,100,289.7,1.25,23.14,2.21,9.06,1840,0.56,21,3.87,121.93,558.67,46.3,12.02,0.92,-0.62,0.2,0.38,-0.13,-0.19,NA,NA,129.3,9.9
STM,165,1,165_1,719111,9688900,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,77,NA,NA,NA,1,1,1.32,NA,NA,253.9,20.33,81.87,97.14,-0.02,11.2,10.83,75,106.95,0.19,21.41,0.9,6.91,2780,0.51,11,4.14,39.13,56,34.66,15.03,1,0.13,-0.34,1.18,-1.06,1.3,NA,NA,61,8.75
STM,165,2,165_2,721237,9685445,Primary_forest,Burnt,,PFbur,PFbur,,,,,,,76,NA,NA,NA,0,1,2.63,NA,NA,1778.5,0,99.7,99.95,0,7.19,1.12,93,228.88,0.36,20.38,1.79,11.3,2200,0.68,13,3.77,63.07,292.86,38.8,12.69,1.15,-0.58,0.3,1.03,-0.11,0.95,NA,NA,78.8,11.38
STM,165,3,165_3,720873,9686438,Primary_forest,Burnt,,PFbur,PFbur,,,,,,,75,NA,NA,NA,0,1,0,NA,NA,865.9,1.37,99.19,99.8,0,6.93,0.98,119,169.3,4.1,22.45,1.77,8.66,3580,0.7,18,3.99,52.73,134.55,29.93,14.82,1.3,0.03,-0.44,1.49,-1.19,1.47,NA,NA,49,4.24
STM,165,4,165_4,720779,9689088,Primary_forest,Logged and burnt,,PFlogbur,PFlogbur,,,,,,,80,NA,NA,NA,1,1,0,NA,NA,410.3,8.41,95.11,99.4,0.01,5.58,8.47,102,398.6,0.24,18.06,5.72,6.41,2620,0.62,31,3.88,77.27,400,50.3,13.52,0.58,-1.31,1.49,0.47,1.26,0.65,NA,NA,125.3,19.09
