,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,job,Done
773,Palicoureaguianensis,13,Trees,0.9 +/- 0.07,0.9 +/- 0.11,100 +/- 0,86.62 +/- 10.77,0.27 +/- 0.19,10,TRUE
774,Palicoureamacrobotrys,2,Trees,NA,NA,NA,NA,NA,10,FALSE
775,Palicoureatriphylla,1,Trees,NA,NA,NA,NA,NA,10,FALSE
776,Parahancorniafasciculata,13,Trees,1 +/- 0.04,0.9 +/- 0.1,100 +/- 0,90.73 +/- 9.56,0.18 +/- 0.16,10,TRUE
777,Parinariexcelsa,9,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.56 +/- 6.86,0.33 +/- 0.15,10,FALSE
778,Parinarirodolphii,9,Trees,0.9 +/- 0.05,0.9 +/- 0.11,100 +/- 0,84.36 +/- 20.03,0.11 +/- 0.1,10,TRUE
779,Parkiadecussata,20,Trees,0.9 +/- 0.05,0.9 +/- 0.1,92.31 +/- 11.77,93.65 +/- 6.84,0.3 +/- 0.22,10,TRUE
780,Parkiagigantocarpa,17,Trees,0.9 +/- 0.05,0.8 +/- 0.09,100 +/- 0,84.29 +/- 9.35,0.23 +/- 0.16,10,TRUE
781,Parkiamultijuga,29,Trees,1 +/- 0.03,0.8 +/- 0.08,96.21 +/- 7.15,87.47 +/- 8.91,0.18 +/- 0.16,10,TRUE
782,Parkianitida,11,Trees,1 +/- 0.05,0.9 +/- 0.1,100 +/- 0,92.99 +/- 9.66,0.41 +/- 0.29,10,TRUE
783,Parkiapendula,28,Trees,0.9 +/- 0.03,0.8 +/- 0.08,96.15 +/- 7.16,84.63 +/- 8.5,0.12 +/- 0.06,10,TRUE
784,Parkiaulei,23,Trees,0.9 +/- 0.04,0.8 +/- 0.07,94 +/- 9.32,87.46 +/- 10.1,0.21 +/- 0.19,10,TRUE
785,Passifloracandida,6,Trees,1 +/- 0.07,0.9 +/- 0.09,100 +/- 0,93.59 +/- 8.51,0.28 +/- 0.17,10,TRUE
786,Passiflorasp1,1,Trees,NA,NA,NA,NA,NA,10,FALSE
787,Patagioenasplumbea,61,Birds,0.9 +/- 0.04,0.8 +/- 0.07,85.83 +/- 6.86,96.69 +/- 3.95,0.24 +/- 0.16,10,TRUE
788,Patagioenassubvinacea,22,Birds,0.9 +/- 0.05,0.8 +/- 0.1,90.38 +/- 12.4,93.05 +/- 8.32,0.26 +/- 0.23,10,TRUE
789,Paulliniacapreolata,8,Trees,1 +/- 0.04,0.9 +/- 0.07,100 +/- 0,92.41 +/- 7.11,0.23 +/- 0.19,10,TRUE
790,Paulliniaingifolia,11,Trees,1 +/- 0.06,0.9 +/- 0.09,100 +/- 0,92.01 +/- 8.67,0.29 +/- 0.18,10,TRUE
791,Paulliniapinnata,15,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,95.51 +/- 4.8,0.27 +/- 0.16,10,TRUE
792,Paulliniarugosa,1,Trees,NA,NA,NA,NA,NA,10,FALSE
793,Paulliniasp,4,Trees,NA,NA,NA,NA,NA,10,FALSE
794,Paulliniastipularis,4,Trees,NA,NA,NA,NA,NA,10,FALSE
795,Pausandramartinii,4,Trees,NA,NA,NA,NA,NA,10,FALSE
796,Pausandratrianae,13,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.15 +/- 7.43,0.34 +/- 0.15,10,TRUE
797,Pauxituberosa,9,Birds,1 +/- 0.04,1 +/- 0.08,100 +/- 0,95.58 +/- 8.18,0.29 +/- 0.14,10,FALSE
798,Paypayrolagrandiflora,21,Trees,1 +/- 0.04,0.9 +/- 0.09,96.79 +/- 8.47,94.32 +/- 5.97,0.2 +/- 0.09,10,TRUE
799,Peltogynevenosa,11,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,91.36 +/- 9.12,0.24 +/- 0.2,10,TRUE
800,Penelopejacquacu,19,Birds,1 +/- 0.03,0.9 +/- 0.09,97.14 +/- 8.07,92.78 +/- 7.06,0.2 +/- 0.18,10,TRUE
801,Perebeaguianensis,1,Trees,NA,NA,NA,NA,NA,11,FALSE
802,Perebeamollis,31,Trees,1 +/- 0.03,0.9 +/- 0.08,95.74 +/- 7.36,95.39 +/- 6.51,0.3 +/- 0.23,11,TRUE
803,Periporphyruserythromelas,9,Birds,1 +/- 0.02,1 +/- 0.03,100 +/- 0,98.41 +/- 3.05,0.29 +/- 0.11,11,FALSE
804,Peritassalaevigata,10,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.02 +/- 5.77,0.35 +/- 0.15,11,TRUE
805,Phaethornisaethopyga,15,Birds,1 +/- 0.02,0.9 +/- 0.07,100 +/- 0,92.76 +/- 6.98,0.23 +/- 0.19,11,TRUE
806,Phaethornisbourcieri,5,Birds,1 +/- 0.05,1 +/- 0.06,100 +/- 0,95.83 +/- 6.47,0.27 +/- 0.09,11,FALSE
807,Phaethornisruber,146,Birds,0.9 +/- 0.04,0.6 +/- 0.07,80.2 +/- 10.01,79.27 +/- 7.64,0.1 +/- 0.04,11,Excluded
