,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,job,Done
1038,Sp2sp,107,Trees,0.9 +/- 0.02,0.8 +/- 0.05,87.97 +/- 6.8,86.98 +/- 7.94,0.15 +/- 0.16,13,TRUE
1039,Sp3sp,1,Trees,NA,NA,NA,NA,NA,13,FALSE
1040,Sparattantheliumtupiniquinorum,23,Trees,0.9 +/- 0.04,0.8 +/- 0.08,93.33 +/- 9.61,85.99 +/- 9.25,0.16 +/- 0.13,13,TRUE
1041,Spirantheraguianensis,7,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.55 +/- 6.1,0.36 +/- 0.1,14,FALSE
1042,Sterculiaexcelsa,14,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,93.4 +/- 7.18,0.19 +/- 0.09,14,TRUE
1043,Sterculiapruriens,111,Trees,0.9 +/- 0.03,0.8 +/- 0.06,90.03 +/- 7.36,88.08 +/- 16.71,0.17 +/- 0.16,14,TRUE
1044,Stigmaphyllonsinuatum,22,Trees,0.9 +/- 0.05,0.8 +/- 0.05,91.67 +/- 12.5,83.91 +/- 14.39,0.16 +/- 0.12,14,TRUE
1045,Stizophyllumriparium,8,Trees,0.9 +/- 0.05,0.9 +/- 0.09,100 +/- 0,89.96 +/- 9.06,0.21 +/- 0.16,14,TRUE
1046,Strixhuhula,3,Birds,NA,NA,NA,NA,NA,14,FALSE
1047,Strixvirgata,1,Birds,NA,NA,NA,NA,NA,14,FALSE
1048,Strychnoscogens,1,Trees,NA,NA,NA,NA,NA,14,FALSE
1049,Strychnosguianensis,2,Trees,NA,NA,NA,NA,NA,14,FALSE
1050,Strychnosjobertiana,5,Trees,1 +/- 0.06,0.9 +/- 0.08,100 +/- 0,93.12 +/- 8.21,0.25 +/- 0.14,14,TRUE
1051,Stryphnodendronadstringens,1,Trees,NA,NA,NA,NA,NA,14,FALSE
1052,Stryphnodendronguianense,22,Trees,0.9 +/- 0.04,0.7 +/- 0.07,98.33 +/- 6.45,73.94 +/- 8.54,0.12 +/- 0.08,14,TRUE
1053,Stryphnodendronpaniculatum,67,Trees,0.9 +/- 0.03,0.8 +/- 0.05,87.95 +/- 6.91,93.88 +/- 6.01,0.19 +/- 0.12,14,TRUE
1054,Stryphnodendronpolystachyum,20,Trees,1 +/- 0.04,0.9 +/- 0.09,96.05 +/- 9.24,91.91 +/- 7.81,0.22 +/- 0.16,14,TRUE
1055,Stryphnodendronpulcherrimum,77,Trees,0.9 +/- 0.02,0.7 +/- 0.05,86.06 +/- 8.46,81.37 +/- 9.84,0.11 +/- 0.04,14,TRUE
1056,Stryphnodendronrotundifolium,19,Trees,0.9 +/- 0.04,0.9 +/- 0.09,96.55 +/- 8.77,88.82 +/- 8.93,0.26 +/- 0.17,14,TRUE
1057,Swartziaarborescens,27,Trees,0.9 +/- 0.05,0.8 +/- 0.08,90 +/- 10.18,94.92 +/- 7.07,0.27 +/- 0.17,14,TRUE
1058,Swartziabrachyrachis,16,Trees,0.9 +/- 0.04,0.9 +/- 0.08,100 +/- 0,88.38 +/- 7.95,0.19 +/- 0.21,14,TRUE
1059,Swartziaflaemingii,7,Trees,0.9 +/- 0.08,0.9 +/- 0.09,100 +/- 0,92.08 +/- 8.81,0.22 +/- 0.14,14,TRUE
1060,Swartziakuhlmannii,3,Trees,NA,NA,NA,NA,NA,14,FALSE
1061,Swartzialaurifolia,71,Trees,0.9 +/- 0.03,0.7 +/- 0.06,85.71 +/- 6.99,81.68 +/- 8.32,0.12 +/- 0.06,14,TRUE
1062,Swartzialaxiflora,11,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,92.5 +/- 8.43,0.28 +/- 0.14,14,TRUE
1063,Swartziapolyphylla,4,Trees,NA,NA,NA,NA,NA,14,FALSE
1064,Swartziarecurva,14,Trees,1 +/- 0.02,1 +/- 0.06,100 +/- 0,96.24 +/- 6.67,0.31 +/- 0.15,14,TRUE
1065,Syagruscocoides,22,Trees,0.9 +/- 0.08,0.9 +/- 0.1,93.9 +/- 10.87,95.34 +/- 4.49,0.29 +/- 0.21,14,TRUE
1066,Symphoniaglobulifera,31,Trees,0.9 +/- 0.04,0.8 +/- 0.08,90.4 +/- 8.37,93.45 +/- 6.84,0.2 +/- 0.16,14,TRUE
1067,Symplocosmartinicensis,1,Trees,NA,NA,NA,NA,NA,14,FALSE
1068,Systemonodaphnegeminiflora,2,Trees,NA,NA,NA,NA,NA,14,FALSE
1069,Tabernaemontanaangulata,27,Trees,0.9 +/- 0.04,0.8 +/- 0.08,89.52 +/- 10.24,94.97 +/- 7.36,0.34 +/- 0.25,14,TRUE
1070,Tabernaemontanasp,4,Trees,NA,NA,NA,NA,NA,14,FALSE
1071,Tabernaemontanaundulata,9,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.62 +/- 4.84,0.36 +/- 0.11,14,FALSE
1072,Tachigalialba,19,Trees,0.9 +/- 0.07,0.9 +/- 0.13,88.33 +/- 12.61,99.12 +/- 1.77,0.36 +/- 0.11,14,TRUE
1073,Tachigalichrysophylla,67,Trees,1 +/- 0.04,0.9 +/- 0.08,93.2 +/- 8.76,96.99 +/- 3.41,0.2 +/- 0.13,14,TRUE
1074,Tachigaliglauca,113,Trees,1 +/- 0.02,0.8 +/- 0.05,86.96 +/- 7.41,89.42 +/- 17.83,0.17 +/- 0.17,14,TRUE
1075,Tachigalipaniculata,33,Trees,0.9 +/- 0.06,0.8 +/- 0.11,87.5 +/- 10.73,89.53 +/- 8.44,0.15 +/- 0.1,14,TRUE
1076,Tachigaliparaensis,31,Trees,0.9 +/- 0.02,0.8 +/- 0.05,95.83 +/- 7.72,81.35 +/- 6.61,0.14 +/- 0.1,14,TRUE
1077,Tachigalivulgaris,12,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.59 +/- 6.58,0.3 +/- 0.11,14,TRUE
1078,Talisiaangustifolia,11,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,92.1 +/- 16.34,0.33 +/- 0.22,14,TRUE
1079,Talisiacarinata,38,Trees,0.9 +/- 0.03,0.8 +/- 0.05,95.45 +/- 7.26,81.82 +/- 6.97,0.1 +/- 0.09,14,TRUE
1080,Talisiacerasina,5,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.11 +/- 7.48,0.31 +/- 0.08,14,FALSE
1081,Talisiaguianensis,3,Trees,NA,NA,NA,NA,NA,14,FALSE
1082,Talisialongifolia,63,Trees,0.9 +/- 0.02,0.7 +/- 0.03,86.62 +/- 7.04,87.81 +/- 6.84,0.16 +/- 0.12,14,TRUE
1083,Talisiamacrophylla,79,Trees,0.9 +/- 0.04,0.8 +/- 0.07,88.51 +/- 7.87,92.8 +/- 5.24,0.16 +/- 0.15,14,TRUE
1084,Talisiamicrophylla,15,Trees,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,94.36 +/- 8.54,0.32 +/- 0.24,14,TRUE
1085,Talisiamollis,35,Trees,0.9 +/- 0.04,0.8 +/- 0.07,89.8 +/- 11.2,90.2 +/- 8.04,0.19 +/- 0.21,14,TRUE
1086,Talisianervosa,1,Trees,NA,NA,NA,NA,NA,14,FALSE
1087,Talisiaretusa,25,Trees,0.9 +/- 0.04,0.8 +/- 0.09,93.1 +/- 9.67,90.32 +/- 9.48,0.28 +/- 0.18,14,TRUE
1088,Talisiasp,4,Trees,NA,NA,NA,NA,NA,14,FALSE
1089,Tanaeciumbilabiatum,1,Trees,NA,NA,NA,NA,NA,14,FALSE
1090,Tanaeciumpyramidatum,2,Trees,NA,NA,NA,NA,NA,14,FALSE
1091,Tangaragyrola,20,Birds,0.9 +/- 0.05,0.9 +/- 0.12,93.48 +/- 11.22,92.15 +/- 10.46,0.25 +/- 0.21,14,TRUE
1092,Tangarapalmarum,85,Birds,0.9 +/- 0.03,0.7 +/- 0.04,88.24 +/- 6.29,76.7 +/- 4.92,0.13 +/- 0.13,14,TRUE
1093,Tangarapunctata,20,Birds,1 +/- 0.05,0.9 +/- 0.11,92.59 +/- 11.63,95.04 +/- 8.19,0.36 +/- 0.22,14,TRUE
1094,Tangaravaria,4,Birds,NA,NA,NA,NA,NA,14,FALSE
1095,Tangaravelia,10,Birds,0.9 +/- 0.04,0.9 +/- 0.08,100 +/- 0,87.12 +/- 8.39,0.12 +/- 0.08,14,TRUE
1096,Tapiriraguianensis,120,Trees,0.9 +/- 0.01,0.7 +/- 0.02,90.62 +/- 5.79,82.85 +/- 3.95,0.13 +/- 0.06,14,TRUE
1097,Tapiriraobtusa,5,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.83 +/- 6.04,0.32 +/- 0.08,14,FALSE
1098,Tapuraamazonica,6,Trees,0.9 +/- 0.08,0.9 +/- 0.08,100 +/- 0,90.83 +/- 8.61,0.33 +/- 0.22,14,TRUE
1099,Tapurasingularis,3,Trees,NA,NA,NA,NA,NA,14,FALSE
1100,Telitoxicumglaziovii,28,Trees,0.9 +/- 0.05,0.9 +/- 0.08,89.08 +/- 8.06,96.95 +/- 4.47,0.34 +/- 0.2,14,TRUE
1101,Terenotriccuserythrurus,38,Birds,0.9 +/- 0.04,0.7 +/- 0.08,85.5 +/- 11.79,86.03 +/- 11.98,0.16 +/- 0.11,14,TRUE
1102,Terminaliaamazonia,14,Trees,1 +/- 0.03,0.9 +/- 0.1,100 +/- 0,88.19 +/- 10.14,0.23 +/- 0.19,14,TRUE
1103,Terminaliaargentea,13,Trees,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,88.07 +/- 8.86,0.13 +/- 0.09,14,TRUE
1104,Terminaliatetraphylla,2,Trees,NA,NA,NA,NA,NA,14,FALSE
1105,Tersinaviridis,5,Birds,1 +/- 0.05,1 +/- 0.07,100 +/- 0,95.88 +/- 6.69,0.32 +/- 0.13,14,FALSE
1106,Tetracerawilldenowiana,26,Trees,0.9 +/- 0.05,0.8 +/- 0.09,88.75 +/- 10.25,96.12 +/- 4.3,0.32 +/- 0.21,14,TRUE
1107,Tetragastrisaltissima,78,Trees,0.9 +/- 0.04,0.8 +/- 0.09,91.1 +/- 10.6,87.78 +/- 8.18,0.11 +/- 0.08,14,TRUE
1108,Tetragastrispanamensis,33,Trees,1 +/- 0.03,0.8 +/- 0.08,90 +/- 9.3,94.09 +/- 7.39,0.27 +/- 0.2,14,TRUE
1109,Tetrapterysmacrostachya,3,Trees,NA,NA,NA,NA,NA,14,FALSE
1110,Thaluraniafurcata,25,Birds,1 +/- 0.06,0.9 +/- 0.09,94.21 +/- 9.19,98.55 +/- 3.61,0.36 +/- 0.15,14,TRUE
1111,Thamnomanescaesius,118,Birds,0.9 +/- 0.02,0.8 +/- 0.05,87.7 +/- 7.15,88.16 +/- 8.57,0.16 +/- 0.16,14,TRUE
1112,Thamnophilusaethiops,97,Birds,0.9 +/- 0.04,0.8 +/- 0.06,87.72 +/- 7.61,91.01 +/- 6.49,0.15 +/- 0.09,14,TRUE
1113,Thamnophilusamazonicus,75,Birds,0.9 +/- 0.02,0.7 +/- 0.04,89.52 +/- 6.52,76.81 +/- 8.14,0.12 +/- 0.08,14,TRUE
1114,Thamnophilusschistaceus,82,Birds,1 +/- 0.03,0.9 +/- 0.07,94.11 +/- 7.57,95.5 +/- 3.27,0.19 +/- 0.12,14,TRUE
1115,Theobromagrandiflorum,2,Trees,NA,NA,NA,NA,NA,14,FALSE
1116,Theobromaspeciosum,90,Trees,1 +/- 0.03,0.8 +/- 0.06,88.27 +/- 8.9,90.58 +/- 6.39,0.15 +/- 0.08,14,TRUE
1117,Theobromasubincanum,17,Trees,1 +/- 0.02,1 +/- 0.06,100 +/- 0,96.47 +/- 6.26,0.26 +/- 0.17,14,TRUE
1118,Thyrsodiumspruceanum,81,Trees,0.9 +/- 0.02,0.8 +/- 0.04,96.15 +/- 5.44,80.75 +/- 6.2,0.1 +/- 0.04,14,TRUE
1119,Tinamusguttatus,14,Birds,1 +/- 0.02,1 +/- 0.06,100 +/- 0,95.14 +/- 6.17,0.25 +/- 0.15,14,TRUE
1120,Tinamustao,8,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.12 +/- 6.95,0.29 +/- 0.11,14,FALSE
1121,Tityracayana,29,Birds,0.9 +/- 0.03,0.8 +/- 0.05,87.12 +/- 7.15,90.99 +/- 6.67,0.24 +/- 0.13,15,TRUE
1122,Tityrasemifasciata,12,Birds,0.9 +/- 0.05,0.9 +/- 0.08,100 +/- 0,89.32 +/- 8.06,0.17 +/- 0.09,15,TRUE
1123,Tolmomyiasassimilis,48,Birds,0.9 +/- 0.03,0.8 +/- 0.06,96.36 +/- 6.58,83.11 +/- 6.29,0.09 +/- 0.03,15,TRUE
1124,Tolmomyiasflaviventris,103,Birds,0.8 +/- 0.02,0.5 +/- 0.04,79.65 +/- 11.29,73.57 +/- 9.81,0.12 +/- 0.1,15,Excluded
1125,Tolmomyiaspoliocephalus,67,Birds,0.9 +/- 0.05,0.8 +/- 0.09,83.3 +/- 11.72,91.84 +/- 6.48,0.2 +/- 0.17,15,TRUE
1126,Tomovitaschomburgkii,1,Trees,NA,NA,NA,NA,NA,15,FALSE
1127,Touliciaguianensis,23,Trees,0.9 +/- 0.05,0.8 +/- 0.1,96.25 +/- 8.06,76.74 +/- 31.3,0.13 +/- 0.16,15,TRUE
1128,Tovomitaacutiflora,1,Trees,NA,NA,NA,NA,NA,15,FALSE
1129,Tovomitasp,2,Trees,NA,NA,NA,NA,NA,15,FALSE
1130,Tovomitaumbellata,5,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,96.67 +/- 5.95,0.3 +/- 0.07,15,FALSE
1131,Trattinnickiaburserifolia,65,Trees,0.9 +/- 0.03,0.7 +/- 0.06,88.21 +/- 9.2,82.19 +/- 8.95,0.11 +/- 0.1,15,TRUE
1132,Trattinnickiarhoifolia,48,Trees,0.9 +/- 0.03,0.7 +/- 0.05,95 +/- 5.13,73.23 +/- 7.07,0.09 +/- 0.09,15,TRUE
1133,Trichiliaelegans,1,Trees,NA,NA,NA,NA,NA,15,FALSE
1134,Trichilialecointei,18,Trees,1 +/- 0.04,0.9 +/- 0.09,96.79 +/- 8.47,93.09 +/- 6.8,0.22 +/- 0.13,15,TRUE
1135,Trichiliamicrantha,65,Trees,0.9 +/- 0.02,0.8 +/- 0.04,87.33 +/- 7.17,88.56 +/- 7.9,0.14 +/- 0.06,15,TRUE
1136,Trichiliaquadrijuga,9,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.12 +/- 6.12,0.32 +/- 0.13,15,FALSE
1137,Trichiliarubra,12,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.6 +/- 5.2,0.32 +/- 0.14,15,TRUE
1138,Trichiliaschomburgkii,14,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.22 +/- 4.68,0.37 +/- 0.16,15,TRUE
1139,Trichiliaseptentrionalis,7,Trees,1 +/- 0.05,1 +/- 0.07,100 +/- 0,95.9 +/- 6.88,0.34 +/- 0.1,15,FALSE
1140,Trogonmelanurus,50,Birds,1 +/- 0.04,0.9 +/- 0.1,92.8 +/- 8.43,92.81 +/- 8.49,0.23 +/- 0.21,15,TRUE
1141,Trogonrufus,39,Birds,0.9 +/- 0.05,0.9 +/- 0.09,90.5 +/- 9.3,95.56 +/- 5.52,0.18 +/- 0.13,15,TRUE
1142,Trogonviolaceus,48,Birds,1 +/- 0.04,0.9 +/- 0.07,89.58 +/- 6.9,97.15 +/- 5.08,0.29 +/- 0.15,15,TRUE
1143,Trogonviridis,100,Birds,0.9 +/- 0.02,0.8 +/- 0.05,87.59 +/- 6.1,90.66 +/- 4.74,0.14 +/- 0.1,15,TRUE
1144,Trymatococcusamazonicus,13,Trees,1 +/- 0.03,0.9 +/- 0.05,100 +/- 0,94.65 +/- 5.08,0.21 +/- 0.11,15,TRUE
1145,Turdusalbicollis,3,Birds,NA,NA,NA,NA,NA,15,FALSE
1146,Turdusfumigatus,4,Birds,NA,NA,NA,NA,NA,15,FALSE
1147,Tyranneutesstolzmanni,99,Birds,0.9 +/- 0.03,0.8 +/- 0.05,86.61 +/- 6.88,92.32 +/- 6.16,0.15 +/- 0.11,15,TRUE
1148,Tyrannuluselatus,73,Birds,0.9 +/- 0.02,0.7 +/- 0.04,78.79 +/- 8.85,87.12 +/- 9.28,0.12 +/- 0.06,15,TRUE
1149,Tyrannusmelancholicus,124,Birds,0.8 +/- 0.03,0.6 +/- 0.04,81.56 +/- 8.91,72.97 +/- 9.7,0.19 +/- 0.15,15,Excluded
1150,Unonopsisguatterioides,26,Trees,1 +/- 0.03,0.9 +/- 0.09,97.78 +/- 6.37,91.84 +/- 7.44,0.19 +/- 0.14,15,TRUE
1151,Unonopsissp,1,Trees,NA,NA,NA,NA,NA,15,FALSE
1152,Vantaneaguianensis,12,Trees,1 +/- 0.05,0.9 +/- 0.08,100 +/- 0,91.05 +/- 8.4,0.28 +/- 0.21,15,TRUE
1153,Vantaneaparviflora,24,Trees,0.9 +/- 0.05,0.8 +/- 0.1,93.12 +/- 9.65,91.8 +/- 8.04,0.2 +/- 0.18,15,TRUE
1154,Vataireaerythrocarpa,12,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,93.1 +/- 8.92,0.3 +/- 0.19,15,TRUE
1155,Vataireaguianensis,6,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.49 +/- 6.65,0.29 +/- 0.09,15,FALSE
1156,Vataireaparaensis,18,Trees,0.9 +/- 0.07,0.8 +/- 0.11,85.47 +/- 12.48,97.61 +/- 5.3,0.4 +/- 0.17,15,TRUE
1157,Veniliornisaffinis,42,Birds,0.9 +/- 0.03,0.8 +/- 0.05,96.32 +/- 7.35,81.3 +/- 8.07,0.16 +/- 0.1,15,TRUE
1158,Vireolaniusleucotis,40,Birds,1 +/- 0.05,0.9 +/- 0.09,94.58 +/- 8.41,98.1 +/- 2.22,0.27 +/- 0.18,15,TRUE
1159,Vireoolivaceus,56,Birds,0.9 +/- 0.04,0.8 +/- 0.05,96.1 +/- 5.76,81.8 +/- 4.9,0.22 +/- 0.17,15,TRUE
1160,Virolacaducifolia,4,Trees,NA,NA,NA,NA,NA,15,FALSE
1161,Virolacalophylla,15,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.36 +/- 6.38,0.3 +/- 0.15,15,TRUE
1162,Virolacrebrinervia,8,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.43 +/- 5.82,0.25 +/- 0.11,15,FALSE
1163,Virolaelongata,17,Trees,1 +/- 0.04,0.9 +/- 0.1,100 +/- 0,88.89 +/- 10.46,0.16 +/- 0.18,15,TRUE
1164,Virolaloretensis,5,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,97.67 +/- 5.33,0.33 +/- 0.09,15,FALSE
1165,Virolamichelii,105,Trees,0.9 +/- 0.04,0.8 +/- 0.07,86.31 +/- 9.23,90.34 +/- 16.73,0.27 +/- 0.25,15,TRUE
1166,Virolamultinervia,3,Trees,NA,NA,NA,NA,NA,15,FALSE
1167,Virolasebifera,12,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,96.86 +/- 5.63,0.37 +/- 0.15,15,TRUE
1168,Virolasp,8,Trees,1 +/- 0.03,0.9 +/- 0.06,100 +/- 0,94.66 +/- 6.57,0.26 +/- 0.12,15,TRUE
1169,Vismiabemerguii,2,Trees,NA,NA,NA,NA,NA,15,FALSE
1170,Vismiacayennensis,44,Trees,0.9 +/- 0.05,0.7 +/- 0.08,88.33 +/- 11.67,77.3 +/- 10.72,0.16 +/- 0.14,15,TRUE
1171,Vismiaguianensis,100,Trees,0.8 +/- 0.04,0.6 +/- 0.05,77.5 +/- 11.62,80.82 +/- 10.45,0.16 +/- 0.18,15,Excluded
1172,Vismialatifolia,26,Trees,0.9 +/- 0.04,0.8 +/- 0.07,90.56 +/- 10.13,89.8 +/- 8.08,0.26 +/- 0.22,15,TRUE
1173,Vismiasessilifolia,12,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,96.83 +/- 5.04,0.36 +/- 0.15,15,TRUE
1174,Vitextriflora,37,Trees,0.9 +/- 0.04,0.8 +/- 0.1,93.88 +/- 10.66,87.93 +/- 10.66,0.15 +/- 0.12,15,TRUE
1175,Vochysiaguianensis,2,Trees,NA,NA,NA,NA,NA,15,FALSE
1176,Vochysiamaxima,14,Trees,1 +/- 0.04,0.9 +/- 0.09,100 +/- 0,92.68 +/- 9.13,0.23 +/- 0.1,15,TRUE
1177,Vochysiavismiifolia,3,Trees,NA,NA,NA,NA,NA,15,FALSE
1178,Willisornispoecilinotus,62,Birds,0.9 +/- 0.04,0.8 +/- 0.05,78.81 +/- 5.48,98.21 +/- 2.71,0.33 +/- 0.15,15,TRUE
1179,Xenopsminutus,80,Birds,0.9 +/- 0.02,0.7 +/- 0.04,88.32 +/- 8.7,79.57 +/- 10.54,0.12 +/- 0.06,15,TRUE
1180,Xiphocolaptespromeropirhynchus,13,Birds,1 +/- 0.02,1 +/- 0.04,100 +/- 0,97.47 +/- 4.76,0.27 +/- 0.11,15,TRUE
1181,Xipholenalamellipennis,24,Birds,1 +/- 0.05,0.9 +/- 0.09,93.33 +/- 9.53,95.83 +/- 4.96,0.21 +/- 0.13,15,TRUE
1182,Xiphorhynchusguttatus,119,Birds,0.9 +/- 0.02,0.8 +/- 0.04,86.93 +/- 6.07,91.53 +/- 6.16,0.14 +/- 0.09,15,TRUE
1183,Xiphorhynchusspixii,58,Birds,0.9 +/- 0.03,0.8 +/- 0.07,85.71 +/- 7.97,93.79 +/- 4.55,0.18 +/- 0.14,15,TRUE
1184,Xylopiaaromatica,13,Trees,0.9 +/- 0.04,0.8 +/- 0.08,100 +/- 0,83.95 +/- 7.9,0.28 +/- 0.19,15,TRUE
1185,Xylopiabenthamii,18,Trees,0.9 +/- 0.04,0.8 +/- 0.06,92.11 +/- 11.94,86.4 +/- 9.71,0.16 +/- 0.15,15,TRUE
1186,Xylopiacayennensis,4,Trees,NA,NA,NA,NA,NA,15,FALSE
1187,Xylopiafrutescens,13,Trees,0.9 +/- 0.04,0.8 +/- 0.09,100 +/- 0,84.25 +/- 8.7,0.21 +/- 0.13,15,TRUE
1188,Xylopianitida,64,Trees,0.9 +/- 0.03,0.8 +/- 0.09,90.56 +/- 8.2,90.07 +/- 8.15,0.2 +/- 0.19,15,TRUE
1189,Xylopiapolyantha,24,Trees,0.9 +/- 0.05,0.9 +/- 0.1,93.33 +/- 9.63,93.22 +/- 7.84,0.21 +/- 0.17,15,TRUE
1190,Xylopiasp,2,Trees,NA,NA,NA,NA,NA,15,FALSE
1191,Zanthoxylumekmanii,37,Trees,0.9 +/- 0.04,0.8 +/- 0.1,90.48 +/- 8.88,90.09 +/- 17.02,0.27 +/- 0.15,15,TRUE
1192,Zanthoxylumpaulae,2,Trees,NA,NA,NA,NA,NA,15,FALSE
1193,Zanthoxylumrhoifolium,50,Trees,0.9 +/- 0.04,0.8 +/- 0.05,89.17 +/- 7.93,88.05 +/- 7.01,0.15 +/- 0.05,15,TRUE
1194,Zanthoxylumsprucei,1,Trees,NA,NA,NA,NA,NA,15,FALSE
1195,Zimmeriusacer,105,Birds,0.9 +/- 0.02,0.8 +/- 0.04,90.32 +/- 6.33,86.2 +/- 6.49,0.11 +/- 0.1,15,TRUE
1196,Ziziphuscinnamomum,5,Trees,1 +/- 0.08,0.9 +/- 0.08,100 +/- 0,94.6 +/- 8.38,0.27 +/- 0.14,15,TRUE
1197,Zollerniaparaensis,22,Trees,1 +/- 0.03,0.9 +/- 0.08,97.14 +/- 8.07,90.7 +/- 6.65,0.18 +/- 0.19,15,TRUE
1198,Zygiaracemosa,81,Trees,0.9 +/- 0.03,0.8 +/- 0.05,87.5 +/- 7.98,92.49 +/- 5.78,0.15 +/- 0.12,15,TRUE
1199,Zygiaramiflora,16,Trees,1 +/- 0.02,1 +/- 0.06,100 +/- 0,95.67 +/- 6.11,0.29 +/- 0.18,15,TRUE
1200,Zygiasp,1,Trees,NA,NA,NA,NA,NA,15,FALSE
1201,Zygiatrunciflora,1,Trees,NA,NA,NA,NA,NA,15,FALSE
