ID,Binomial,Group,Nrec,mtry,ntree,TP,FP,TN,FN,ROC,distriver,distroad,DPFpx,edgedist,edgels,edgepx,elevation,meanprecips,meantemps,MFls,SFAgepx,SFls,TSDls,UPFpx,method,Shape_Area,Shape_Area_scaled
39,Amazonaochrocephala,Birds,34,13,200,19,15,169,1,0.821688397581255,0.0564786902004682,0.0352507164434299,0.0190027969907402,0.0433248299829855,0.0163485807174417,0.010554776121178,0.0263494451665762,0,0.00954703193831898,0.0613016504482975,0.00850855587615807,0.0272472096511819,1,0.0226045249264847,SDM,542.029346660121,0.551790280786933
40,Ambelaniaacida,Trees,37,4,950,27,10,172,3,0.935379464285714,0.00943888482418772,0.0231825073476245,0.0370357215659807,0.177186237030368,0.0283953918771468,0,0.0432731733517901,0.00780392916969938,0.0239693594906031,0.117694137945702,0.0482810229314476,0.120688020540719,1,0.733274807855755,SDM,6726560796550.41,0.836455019978356
41,Ampeloceraedentula,Trees,17,5,100,14,3,80,0,0.998148148148148,0.00135380878575713,0.0130866374664481,0.0139829550131838,0.421861240327921,0.0259811379008251,0.0136591367513326,0.000319665849846533,0.00516827682220556,0.0121446714123367,0.149301359810423,0,0.0107732736226758,1,0.26782412991553,SDM,9017672874706.99,0.781091100995197
42,Ampelozizyphusamazonicus,Trees,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,7608706603056.45,0.815138276276306
43,Amphirrhoxlongifolia,Trees,27,3,250,22,5,134,1,0.940909090909091,0.011393823067423,0.101883592597155,0.0644288824399495,0.370409810794525,0.0917677948882909,0,0.0695459123725225,0.00926404129130142,0.0265446913747222,0.235027529177219,0.013027992089339,0.0106973582012734,1,0.601248774227258,SDM,13709965522938.6,0.667703496565566
44,Anacardiumgiganteum,Trees,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,11764001516133.1,0.714727033582405
45,Anacardiumparvifolium,Trees,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6259162363503.88,0.847749539014223
46,Anaxagoreabrevipes,Trees,13,3,100,13,0,65,0,1,0.0222254872177523,0.0371595874535866,0.00529152834996725,0.185807712092022,0.0689591147410844,0,0.00502817464609401,0.0429480693072569,0.0412180742275413,0.218559928452625,0.0424671015180788,0.118001863647042,0.876426232713271,1,SDM,8859516536510.97,0.784912893380667
47,Anaxagoreaprinoides,Trees,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,5605660519642.91,0.863541181633459
48,Ancistropsstrigilatus,Birds,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,205.185622148152,0.835962545184563
49,Andirasurinamensis,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,13000000000000,0.684859564165906
50,Anemopaegmafloridum,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,12600000000000,0.694525423730088
51,Anibaburchellii,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6802686942162.02,0.834615458396745
52,Anibacanelilla,Trees,15,3,150,12,3,74,1,1,0.00992815702536292,0.0685804368327241,0.00333935222705195,0.547449708755664,0.0701429692100791,0.0246705772475503,0.139750770081108,0.00397268153293296,0,0.276841823839996,0.0251194786060505,0.0120396609558716,1,0.584546555034367,SDM,10219651346953.8,0.752045713215426
53,Anibacitrifolia,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,6586572071233.41,0.839837798377064
54,Anibaguianensis,Trees,17,3,200,14,3,85,0,0.989285714285714,0.0131938618968603,0.0482686349805747,0,0.184769712161099,0.0646283337842383,0.0315847536013698,0.0319401855907024,0.0198178192686999,0.0270464824494627,0.134443443214509,0.0378194999697788,0.0580467047789201,0.864429550781135,1,SDM,8943142234471.48,0.78289210774956
55,Anibahostmanniana,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,9017672874706.99,0.781091100995197
56,Anibakappleri,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,5182210627371.12,0.873773699611377
57,Anibamegaphylla,Trees,12,3,250,11,1,50,0,1,0,0.0696617430699835,0.0357407857522091,0.365424687751299,0.0391657261271924,0.0112850899093323,0.026899149917525,0.0180518860530961,0.00633959315417655,0.208973391722357,0.0032429611753076,0.0338409362088552,1,0.540155203212924,SDM,8943142234471.48,0.78289210774956
58,Anibaparviflora,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,5352180829262.51,0.869666429357432
59,Anibariparia,Trees,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,8859516536510.97,0.784912893380667
60,Anibarosaeodora,Trees,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,7608706603056.45,0.815138276276306
61,Anibawilliamsii,Trees,11,3,200,8,3,53,2,0.971428571428571,0.0680437688903564,0.0472686302560879,0.0538473283714453,0.210318647851474,0.0629559257477347,0.0547242349592217,0.0298112943841757,0.0501676176777205,0,0.169553070783694,0.0636873689735708,0.0935029661855806,1,0.205968515187709,SDM,7856611540806.96,0.809147740492397
62,Annonaambotay,Trees,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,10551181982664.8,0.74403439180041
63,Annonadensicoma,Trees,34,7,350,26,8,169,1,0.976457725947522,0.00743939997768437,0.0244039996407671,0.0146333406585443,0.154706053255621,0.0324936392731823,0.0129899049570721,0.0314622653101947,0,0.0532853599894535,0.140869557155536,0.0273826290340367,0.0397576321809316,1,0.701175507494062,SDM,6726560796550.41,0.836455019978356
64,Annonatenuiflora,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,5960000000000,0.854978692495516
65,Annonatenuipes,Trees,17,4,200,14,3,85,0,0.984,0.00931536253716963,0.00175248812431905,0.00704104230664463,0.125748902766524,0.0414237358389062,0.0704497397888448,0,0.00145408013885611,0.0100749765973314,0.101304331582243,0.00338141208254246,0.0218336499701752,1,0.214541922769967,SDM,210679842959.757,0.993908995564202
66,Anodorhynchushyacinthinus,Birds,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,235.240967287415,0.810606883600393
67,Anomospermumreticulatum,Trees,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,13398765785162.6,0.675223528969949
68,Antrostomussericocaudatus,Birds,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,100.606430866289,0.924188934553986
69,Apeibaalbiflora,Trees,36,5,100,26,10,174,1,0.934339569160998,0.0144370237364747,0.00507719016234954,0.0780700916253281,0.163312728414624,0.0965740313184855,0.00297939623072441,0.0154059534966243,0.0104250755577137,0.0146677982985248,0.255197309814342,0.00273683511659328,0,1,0.105461427236438,SDM,8330000000000,0.797708474577735
70,Apeibaechinata,Trees,53,5,1650,43,10,264,1,0.901888020833333,0.00412998797713998,0.00958090154337207,0.0227962850338466,0.11668328277971,0.0589543447125899,0.00108491285373036,0.0173299724094872,0,0.00829687257132772,0.129078470190888,0.024727560573471,0.0364386999251976,1,0.177915332559158,SDM,6322865663625.13,0.846210171132355
71,Apeibaglabra,Trees,63,4,100,49,14,314,1,0.978744047619048,0.0118056662973515,0.0199525594327205,0.0179090171223197,0.161070876922908,0.109282184233593,0.0111034148517633,0.0096707131986989,0,0.0154896071572498,0.163797992341097,0.0121322441899433,0.0337134478196429,1,0.261989750109444,SDM,8942376929275.98,0.782910601080918
72,Arachloropterus,Birds,27,14,1900,22,5,135,0,0.928703703703704,0.00142059871156056,0,0.00551940780491234,0.00481331706140349,0.00622010079407019,0.00543885864107983,0.00466020889123045,0.0207170035671028,0.015045725663878,0.0552711445473612,0.00660075173956412,0.0104611653693494,1,0.0075038278612318,SDM,666.968357052295,0.446387689284945
73,Aramacao,Birds,23,14,1050,15,8,112,3,0.9107,0.0146560005950154,0.0161515874942809,0.00820487632937403,0.00881164192564938,0.114546175979347,0.0101707075275259,0.0331729609552596,0,0.00533933552552261,0.0540642608259197,0.0659927106305295,0.0412697597966039,1,0.0122431573020669,SDM,553.030351075972,0.542509477530081
74,Aramidescajeana,Birds,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,1135.8898673318,0.050790331507397
75,Aristolochiaguentheri,Trees,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPFls,7593597994918.91,0.815503370487476
76,Arremontaciturnus,Birds,28,10,1300,17,11,137,3,0.933861111111111,0,0.0157241504989937,0.00985910148219317,0.065017213796037,0.0179816693691951,0.016005284505853,0.0250251770015531,0.010959350989634,0.0403082338437273,0.0691139295542263,0.0933908976597064,0.0188196648556644,1,0.246970186783685,SDM,555.749173459244,0.540215791001503
77,Aspidospermaauriculatum,Trees,15,3,100,10,5,74,1,1,0.0469280827065437,0.0542667682695664,0.0333959256951102,0.264944720924401,0.133178146872246,0.0761231118276911,0,0.0194585731803115,0.0386558921656901,0.25723847928777,0.0345666760004132,0.142403563820266,1,0.579845832510072,SDM,3830000000000,0.906449394674787
