"","ID","Binomial","Nrec","Group","ROC","TSS","Sensitivity","Specificity","Cutoff","Method","Shape_Area"
"968",958,"Ramphocaenusmelanurus",103,"Birds","0.9 +/- 0.03","0.7 +/- 0.03","83.6 +/- 9.26","89.4 +/- 9.83","0.17 +/- 0.11","SDM",721.007947019553
"969",959,"Ramphoceluscarbo",175,"Birds","0.8 +/- 0.03","0.5 +/- 0.04","77.01 +/- 12.88","68.28 +/- 11.09","0.12 +/- 0.11","Excluded",867.866284021091
"970",960,"Ramphotrigonruficauda",14,"Birds","1 +/- 0.03","0.9 +/- 0.11","100 +/- 0","85.71 +/- 11.7","0.22 +/- 0.2","SDM",551.283201493101
"971",961,"Randiaarmata",8,"Trees","0.9 +/- 0.06","0.9 +/- 0.07","100 +/- 0","90.47 +/- 8.13","0.2 +/- 0.15","SDM",NA
"972",962,"Rhabdodendronamazonicum",13,"Trees","1 +/- 0.03","0.9 +/- 0.1","100 +/- 0","82.31 +/- 22.02","0.22 +/- 0.25","SDM",NA
"973",963,"Rhegmatorhinagymnops",5,"Birds","1 +/- 0.03","1 +/- 0.06","100 +/- 0","97.17 +/- 6.13","0.3 +/- 0.07","UPFls_10",12.8630708563149
"974",964,"Rhynchosiaphaseoloides",2,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"975",965,"Rhytipternasimplex",86,"Birds","0.9 +/- 0.02","0.8 +/- 0.05","86.63 +/- 7.3","91.4 +/- 7.03","0.16 +/- 0.12","SDM",604.995364489081
"976",966,"Rinoreafalcata",3,"Trees",NA,NA,NA,NA,NA,"UPFls_10",NA
"977",967,"Rinoreaflavescens",13,"Trees","1 +/- 0.03","1 +/- 0.05","100 +/- 0","95.9 +/- 4.94","0.25 +/- 0.11","SDM",NA
"978",968,"Rinoreaguianensis",101,"Trees","0.9 +/- 0.03","0.8 +/- 0.04","84.83 +/- 7.37","91.81 +/- 6.48","0.22 +/- 0.29","SDM",NA
"979",969,"Rinoreaneglecta",68,"Trees","0.9 +/- 0.02","0.8 +/- 0.04","91.96 +/- 7.39","85.67 +/- 8.66","0.11 +/- 0.09","SDM",NA
"980",970,"Rinorearacemosa",53,"Trees","0.9 +/- 0.04","0.8 +/- 0.06","89.9 +/- 7.77","92.9 +/- 5.67","0.15 +/- 0.1","SDM",NA
"981",971,"Rinoreariana",71,"Trees","0.9 +/- 0.03","0.8 +/- 0.06","85.71 +/- 8.75","91.71 +/- 8.99","0.18 +/- 0.15","SDM",NA
"982",972,"Rinoreasp",3,"Trees",NA,NA,NA,NA,NA,"Excluded",NA
