"Region","Catchment","Transect","Transectcode","UTM_X","UTM_Y","LU_FT_Code","AGB_Trees10","carbon_stock","non_zero","Longitude","Latitude","distmarket","distriver","distroad","DPFpx","edgedist","edgels","edgepx","elevation","meanprecips","meantemps","MFls","propertysize","SFAgepx","SFls","TSDls","UPFpx"
"PGM","235",8,"235_8",245891.82,9658955.39,"PA","0",0,0,-47.2862863948922,-3.0830397461696,11614.251953125,1497.84289550781,774.765869140625,0,0,0,0,154.338272094727,136.904205322266,200.70329284668,0.0236734692007303,1055.19262695312,0,0.019591836258769,0.636734664440155,0
"PGM","245",1,"245_1",290187.74,9653934.5,"PA","0",0,0,-46.8879845714213,-3.12922420412218,53580.93359375,1208.61547851562,214.976577758789,0,0,0,0,106.676162719727,140.3525390625,195.170501708984,0.0522448979318142,3397.82397460938,0,0.0775510221719742,4.41632652282715,0
"PGM","245",11,"245_11",293943.71,9656654.15,"PFlogbur","220.58",110.29,1,-46.8541556314509,-3.10469294290501,56600.91796875,1989.17797851562,551.995056152344,0,247.144424438477,0.113469384610653,1,188.304992675781,141.201232910156,194.840515136719,0.881632626056671,3397.82397460938,4.88888883590698,0.125714287161827,237.47509765625,0.777777791023254
"PGM","245",12,"245_12",299365.26,9653310.44,"PA","0",0,0,-46.805439038476,-3.13501334349545,62617.95703125,397.334167480469,260.614807128906,0,0,0,0,70,141.926712036133,195.768646240234,0.143673464655876,1479.22143554688,0,0.121632650494576,10.949387550354,0
"PGM","245",13,"245_13",291735.63,9655069.46,"PA","0",0,0,-46.8740427933899,-3.11898679246686,54779.9453125,422.539184570312,236.265121459961,0,0,0.0122448978945613,0,91.1577301025391,140.715484619141,195.162582397461,0.200816333293915,3397.82397460938,0,0.0955102071166039,40.3738784790039,0
"PGM","245",14,"245_14",293148.9,9655395.63,"PA","2.49",1.245,1,-46.8613249940631,-3.11606015857169,56104.40234375,1198.89782714844,72.906623840332,0,0,0,0,89.4656066894531,140.904235839844,195.312088012695,0.0448979586362839,3397.82397460938,0,0.0620408169925213,2.53142857551575,0
"PGM","245",2,"245_2",296712.5,9655903.23,"PFlog","197.58",98.79,1,-46.8292615393853,-3.11152666792651,59479.71484375,1423.54846191406,1432.53149414062,0,1692.275390625,0,0,100,141.729156494141,194.981414794922,1,5200.88037109375,0,0.0138775510713458,296.197540283203,1
"PGM","245",4,"245_4",296858.86,9654261.86,"PFlog","149.76",74.88,1,-46.8279706237874,-3.12637090186904,59949.515625,99.3335266113281,2659.37426757812,0,137.618377685547,0.16326530277729,0,87.1048965454102,141.451431274414,195.75032043457,0.98938775062561,5200.88037109375,0,0.0775510221719742,278.751007080078,1
"PGM","245",5,"245_5",297890.01,9656696.88,"PFlog","394.89",197.445,1,-46.8186571504454,-3.10436852527946,60475.27734375,1404.93530273438,638.083190917969,0,734.90185546875,0.0571428574621677,0,99.8834228515625,142.193130493164,194.472259521484,1,5200.88037109375,0,0.00897959154099226,297.539581298828,1
"PGM","245",6,"245_6",292051.13,9656536.8,"PFlog","302.28",151.14,1,-46.8711814108021,-3.10572390140404,54777.60546875,1772.12231445312,234.52604675293,0,489.493041992188,0.171428576111794,0,210,141.025115966797,194.662460327148,0.995102047920227,3397.82397460938,0,0.117551021277905,263.611419677734,1
