"Region","COD_IMOVEL","num_area_ha","num_modulo_new","size_class","FOREST_COVER_2010_PP","ADEF_BIODIVERSITY_BENEFIT","ADEG_BIODIVERSITY_BENEFIT","RESTOR_BIODIVERSITY_BENEFIT","ADEF_CARBON_BENEFIT","ADEG_CARBON_BENEFIT","RESTOR_CARBON_BENEFIT","ADEF_BIODIVERSITY_BENEFIT_HA","ADEG_BIODIVERSITY_BENEFIT_HA","RESTOR_BIODIVERSITY_BENEFIT_HA","ADEF_CARBON_BENEFIT_HA","ADEG_CARBON_BENEFIT_HA","RESTOR_CARBON_BENEFIT_HA"
"PGM","PA-1505502-F67E437C2267432AB4C1A3945C31363C",34.0688299146634,0.619433271175697,"small",0.710403188197422,22.9115825146437,15.4599261805415,0,6328.80616569519,1441.67555427551,0,0.67250864124284,0.453785064508115,0,185.765292836525,42.3165561566589,0
"PGM","PA-1505502-F5A3841C2E4540BEA41EC545DE758787",74.5998023235966,1.35636004224721,"small",0.861962567980809,3.37388919387013,21.263165442273,0,4162.50545358658,2057.813331604,4.4382209777832,0.0452265165426978,0.285029782653288,0,55.7978080897667,27.5847022044065,0.0594937364382178
"PGM","PA-1505502-0FA086B85AE54E85874972FECEB40CED",25.4584501875781,0.46288091250142,"small",0.733162591073554,3.93430948257446,22.3498579859734,0,1922.59481430054,2121.95472335815,0,0.154538452010489,0.877895465800132,0,75.5189259414787,83.3497211229894,0
"PGM","PA-1505502-BF5C902854E14F0A839645E0A3DF3039",140.51278453643,2.55477790066237,"small",0.21148577564342,0,0.197112783789635,2.27771391160786,0,0,514.710206985474,0,0.0014028103167974,0.0162100119154448,0,0,3.66308452774293
"PGM","PA-1505502-47A780DAEAE74FB9876C1B2B9B3ACC8B",1.74461403465243,0.031720255175499,"small",0.563010411664882,1.91382339596748,0,0,282.660697937012,0,0,1.09698956786666,0,0,162.019043939036,0,0
"PGM","PA-1505502-84E7536E55F5487AB77D9DDAF3C619F7",30.8482055984187,0.560876465425794,"small",0.816299984443691,12.6796948257834,31.5850418824703,0,7062.61845016479,1144.20845031738,0,0.411035085503753,1.02388587179571,0,228.947464306541,37.0915723660775,0
"PGM","PA-1505502-5D9509290E0D4BC097B127D92B73C91A",55.1012482731913,1.00184087769439,"small",0.040487800154563,0,0.0601051114499569,0.162070002406836,0,0,103.035299301147,0,0.00109081215641353,0.00294131271951035,0,0,1.86992677171849
"PGM","PA-1505502-1259A8DA735A4FE59DB953A1C6F87A0B",12.6099523296796,0.229271860539629,"small",0.57358257512366,7.43148450553417,0.693094342947006,0,5041.0179977417,39.2267951965332,0,0.589334861166998,0.0549640732039641,0,399.765032091108,3.11078060970988,0
"PGM","PA-1505502-0CCBFBBC0F374F30A41D299E0DB7B84E",76.833459682311,1.39697199422384,"small",0.272943388938023,16.7923805918545,0.0130919367074966,0,9794.9676990509,0,0,0.218555570207136,0.00017039368995785,0,127.483100976461,0,0
"PGM","PA-1505502-7F4627FFDF17481CB4FCF92E9C9D52ED",27.5217471118196,0.500395402033084,"small",0.788424834355383,15.0486267954111,1.62926911003888,0,8545.04477882385,28.5120716094971,0,0.546790388497839,0.0591993343816158,0,310.483369537033,1.03598334414068,0
"PGM","PA-1505502-9EC44498F5A448D8B96803201F15CE25",64.9834564388469,1.18151738979722,"small",0.173030222248507,1.12624010257423,0.00642998144030571,1.96244232170284,656.463956832886,1.00577926635742,1614.60596466064,0.0173311818775612,9.89479752643919e-05,0.0301991064995074,10.1020166178857,0.0154774664426155,24.8464155824041
"PGM","PA-1505502-A66C12A78F6D4B16B8F4FA29BADF9939",22.2848585147391,0.405179245722529,"small",0.280530780578834,7.01801767759025,1.25526783894747,1.1109512085095,2657.10596084595,42.4583702087402,1092.45815944672,0.314923142677732,0.0563282839833713,0.0498522890676971,119.233692199057,1.90525644040587,49.0224408974447
"PGM","PA-1505502-17C6D74D65FB4FC59AC533DD88E39EB2",24.1291872912118,0.438712496203851,"small",0.832659707205755,12.0331884538755,23.2131598498672,0,9439.34432983398,1425.15524482727,0,0.498698456298946,0.96203653980181,0,391.200259499495,59.0635410810679,0
"PGM","PA-1505502-D4A0CCB351CF4250864A8C45BBB9AE68",38.4013532886393,0.698206423429806,"small",0.855725747738966,16.0217271856964,149.90551577881,0.158186245709658,7033.42036056519,10184.7048072815,0,0.417217775250546,3.90365190132916,0.00411928831051002,183.155533808908,265.21734092883,0
"PGM","PA-1505502-18258BB441B5427E9C114CDBDB3E1D93",26.9346829997793,0.489721509086896,"small",0.06294944293095,0,0.0313521046191454,0.0490412637591362,0,0,32.114875793457,0,0.0011640049604223,0.00182074776077885,0,0,1.19232425322103
"PGM","PA-1505502-B81597217F0C4960977F80655CDFB910",14.412224569939,0.262040446726163,"small",0.805451535903092,5.11497338861227,14.9627401903272,0,5512.62405014038,636.608097076416,0,0.35490519619581,1.03819782419547,0,382.496402508091,44.1713972736904,0
"PGM","PA-1505502-1FE72121D32E432BBDAC66EFD91A8071",12.3995321983193,0.225446039969441,"small",0.216045403082336,1.81008729897439,0,0.821891659870744,981.249119758606,23.8424558639526,826.984412193298,0.145980289419285,0,0.0662840861030345,79.1359790082735,1.9228512400802,66.6948074303475
"PGM","PA-1505502-0BDEE7DF7BB54BEB9BF2D2246A98CBC6",10.5884110914215,0.192516565298574,"small",0.843323108936154,46.7932424545288,1.39049208164215,0,8299.58609771729,447.745384216309,0,4.41928841357883,0.131322071804399,0,783.83678401393,42.2863619810776,0
"PGM","PA-1505502-FE59573DCA8D43819F73AC8A33FDEA39",46.9543136303455,0.853714793279009,"small",0.58917083102255,3.5134657509625,0.839715108275414,0.183998990803957,1441.99644088745,44.3501358032227,91.5923156738281,0.0748273263799095,0.0178836627213037,0.00391868130056197,30.710627616448,0.944538049312687,1.95066882235574
"PGM","PA-1505502-F37AAC868A2441BAA972A7D40D464A2B",61.8152379821077,1.1239134178565,"small",0.049115524192565,0.463752311654389,0,3.19327911175787,0,16.9984045028687,2262.09901809692,0.00750223289261818,0,0.0516584456518984,0,0.27498728562347,36.5945208971238
"PGM","PA-1505502-C462DEB0C8AF4103B44F3A71ECD2B7C2",215.107180279952,3.91103964145368,"small",0.432616108305793,83.7628426947631,0,4.82905473094434,40190.6388573647,0,6018.50159072876,0.389400496002735,0,0.0224495282986813,186.840061801091,0,27.9790827200466
"PGM","PA-1505502-D2A07E57033F443FB387032EEB969CAF",10.6749571070544,0.194090129219172,"small",0.711021098980845,4.34406797215343,1.22225423157215,0.133364136330783,2633.00968742371,307.691408157349,28.9185619354248,0.406940086839571,0.114497343578499,0.0124931777236511,246.652952421112,28.8236669310843,2.70900966115491
"PGM","PA-1505502-2757B3D149F841DDB747E32B9DBF058C",24.4132614570591,0.443877481037438,"small",0.863205773044463,11.6606279909611,13.5253163352609,0,10708.918762207,580.833972930908,0,0.477634994057274,0.554015134727115,0,438.65170497777,23.7917401553474,0
